DAY,HOUR,OPEN,HIGH,LOW,CLOSE
4/15/2015,4:00,1.0624,1.06287,1.06165,1.06266
4/15/2015,5:00,1.06265,1.06391,1.06238,1.06319
4/15/2015,6:00,1.06326,1.06634,1.06259,1.06452
4/15/2015,7:00,1.0645,1.06466,1.06017,1.0604
4/15/2015,8:00,1.06041,1.0613,1.05701,1.05804
4/15/2015,9:00,1.05801,1.06075,1.05732,1.06031
4/15/2015,10:00,1.0603,1.06138,1.05808,1.05839
4/15/2015,11:00,1.05837,1.06034,1.05792,1.05828
4/15/2015,12:00,1.05827,1.06179,1.05763,1.05963
4/15/2015,13:00,1.05967,1.06738,1.05812,1.0637
4/15/2015,14:00,1.0637,1.06478,1.05876,1.06083
4/15/2015,15:00,1.06084,1.06137,1.0583,1.0595
4/15/2015,16:00,1.05952,1.06226,1.05908,1.0618
4/15/2015,17:00,1.06178,1.07009,1.06178,1.06701
4/15/2015,18:00,1.067,1.06902,1.06634,1.06831
4/15/2015,19:00,1.06832,1.0688,1.06694,1.06843
4/15/2015,20:00,1.06841,1.06874,1.06727,1.06827
4/15/2015,21:00,1.0683,1.06869,1.0673,1.0678
4/15/2015,22:00,1.06762,1.06805,1.06724,1.06749
4/15/2015,23:00,1.06747,1.06774,1.0672,1.06755
4/16/2015,0:00,1.06756,1.07454,1.06726,1.07287
4/16/2015,1:00,1.07289,1.07365,1.07129,1.07144
4/16/2015,2:00,1.07143,1.07151,1.06926,1.06954
4/16/2015,3:00,1.06955,1.07088,1.06939,1.06974
4/16/2015,4:00,1.06975,1.07042,1.06835,1.06911
4/16/2015,5:00,1.06908,1.06908,1.06744,1.06777
4/16/2015,6:00,1.06777,1.06946,1.06541,1.06654
4/16/2015,7:00,1.06654,1.06846,1.06257,1.06372
4/16/2015,8:00,1.06375,1.0649,1.06254,1.0631
4/16/2015,9:00,1.0631,1.06738,1.06236,1.06717
4/16/2015,10:00,1.06718,1.0729,1.06659,1.0712
4/16/2015,11:00,1.07121,1.07464,1.07113,1.07294
4/16/2015,12:00,1.07293,1.07661,1.07058,1.07404
4/16/2015,13:00,1.07402,1.07522,1.0721,1.07299
4/16/2015,14:00,1.07297,1.07297,1.06839,1.06999
4/16/2015,15:00,1.06998,1.07423,1.0697,1.07414
4/16/2015,16:00,1.07416,1.07461,1.07231,1.07298
4/16/2015,17:00,1.07299,1.07909,1.07281,1.07886
4/16/2015,18:00,1.07885,1.08171,1.07733,1.07976
4/16/2015,19:00,1.07974,1.08053,1.07661,1.07693
4/16/2015,20:00,1.07693,1.07712,1.0756,1.07604
4/16/2015,21:00,1.07621,1.07677,1.07582,1.07634
4/16/2015,22:00,1.07633,1.07652,1.07566,1.07599
4/16/2015,23:00,1.07598,1.07722,1.07524,1.07572
4/17/2015,0:00,1.07571,1.07841,1.07571,1.07773
4/17/2015,1:00,1.07767,1.07858,1.076,1.07624
4/17/2015,2:00,1.07622,1.07715,1.07608,1.07677
4/17/2015,3:00,1.07676,1.07755,1.07652,1.07659
4/17/2015,4:00,1.0766,1.07757,1.07634,1.07757
4/17/2015,5:00,1.07754,1.07788,1.07638,1.07649
4/17/2015,6:00,1.0765,1.07914,1.07369,1.07485
4/17/2015,7:00,1.07485,1.08032,1.07464,1.07854
4/17/2015,8:00,1.07858,1.08265,1.07854,1.08193
4/17/2015,9:00,1.08202,1.08329,1.0801,1.0822
4/17/2015,10:00,1.08219,1.08481,1.08138,1.08183
4/17/2015,11:00,1.08183,1.08213,1.07891,1.08173
4/17/2015,12:00,1.08172,1.08383,1.07423,1.07564
4/17/2015,13:00,1.07567,1.07742,1.07324,1.07712
4/17/2015,14:00,1.07706,1.07859,1.07528,1.0774
4/17/2015,15:00,1.07737,1.0797,1.07711,1.07802
4/17/2015,16:00,1.07801,1.07894,1.07686,1.07781
4/17/2015,17:00,1.07781,1.0799,1.07773,1.07912
4/17/2015,18:00,1.07913,1.07987,1.07862,1.07909
4/17/2015,19:00,1.07911,1.08227,1.07908,1.0817
4/17/2015,20:00,1.08169,1.0819,1.0799,1.08012
4/19/2015,21:00,1.08176,1.0819,1.08075,1.08106
4/19/2015,22:00,1.08104,1.08113,1.07931,1.07935
4/19/2015,23:00,1.07931,1.08107,1.07876,1.08078
4/20/2015,0:00,1.08076,1.08164,1.08001,1.08071
4/20/2015,1:00,1.0807,1.08178,1.07913,1.07926
4/20/2015,2:00,1.07928,1.08034,1.07912,1.07965
4/20/2015,3:00,1.07966,1.08024,1.07856,1.07856
4/20/2015,4:00,1.07857,1.07938,1.07697,1.07753
4/20/2015,5:00,1.07751,1.07834,1.07663,1.07789
4/20/2015,6:00,1.07788,1.08054,1.07739,1.07926
4/20/2015,7:00,1.07925,1.07934,1.0769,1.07804
4/20/2015,8:00,1.07803,1.07962,1.07475,1.07525
4/20/2015,9:00,1.07524,1.07553,1.07332,1.07507
4/20/2015,10:00,1.07508,1.07623,1.07223,1.07254
4/20/2015,11:00,1.07256,1.07441,1.07225,1.07335
4/20/2015,12:00,1.07335,1.07512,1.07115,1.07426
4/20/2015,13:00,1.07423,1.07501,1.07243,1.07397
